Time,K004b_Raum.room_temperature
1806,21.4494
1807,21.4492
1808,21.4489
1809,21.4487
1810,21.4484
1810,21.4484
1811,21.4481
1812,21.4478
1813,21.4476
1814,21.4473
1815,21.447
1816,21.4467
1817,21.4464
1818,21.4461
1819,21.4457
1820,21.4454
1820,21.4454
1821,21.4451
1822,21.4447
1823,21.4444
1824,21.4441
1825,21.4437
1826,21.4434
1827,21.443
1828,21.4427
1829,21.4423
1830,21.442
1830,21.442
1831,21.4416
1832,21.4413
1833,21.4409
1834,21.4405
1835,21.4401
1836,21.4397
1837,21.4393
1838,21.4389
1839,21.4385
1840,21.4381
1840,21.4381
1841,21.4377
1842,21.4372
1843,21.4368
1844,21.4363
1845,21.4359
1846,21.4354
1847,21.4349
1848,21.4344
1849,21.4339
1850,21.4334
1850,21.4334
1851,21.4329
1852,21.4323
1853,21.4318
1854,21.4313
1855,21.4307
1856,21.4302
1857,21.4296
1858,21.429
1859,21.4285
1860,21.4279
1860,21.4279
1861,21.4273
1862,21.4267
1863,21.4261
1864,21.4255
1865,21.4249
1866,21.4243
1867,21.4237
1868,21.4231
1869,21.4225
1870,21.4219
1870,21.4219
1871,21.4213
1872,21.4206
1873,21.42
1874,21.4194
1875,21.4188
1876,21.4181
1877,21.4175
1878,21.4168
1879,21.4162
1880,21.4155
1880,21.4155
1881,21.4149
1882,21.4142
1883,21.4135
1884,21.4129
1885,21.4122
1886,21.4116
1887,21.4109
1888,21.4102
1889,21.4095
1890,21.4089
1890,21.4089
1891,21.4082
1892,21.4075
1893,21.4069
1894,21.4062
1895,21.4055
1896,21.4049
1897,21.4042
1898,21.4036
1899,21.4029
1900,21.4023
1900,21.4023
1901,21.4016
1902,21.401
1903,21.4003
1904,21.3997
1905,21.3991
1906,21.3985
1907,21.3979
1908,21.3973
1909,21.3967
1910,21.3961
1910,21.3961
1911,21.3955
1912,21.3949
1913,21.3943
1914,21.3938
1915,21.3932
1916,21.3927
1917,21.3921
1918,21.3916
1919,21.3911
1920,21.3906
1920,21.3906
1921,21.3901
1922,21.3896
1923,21.3891
1924,21.3886
1925,21.3881
1926,21.3876
1927,21.3871
1928,21.3867
1929,21.3862
1930,21.3857
1930,21.3857
1931,21.3852
1932,21.3847
1933,21.3842
1934,21.3838
1935,21.3833
1936,21.3828
1937,21.3823
1938,21.3818
1939,21.3814
1940,21.3809
1940,21.3809
1941,21.3804
1942,21.3799
1943,21.3794
1944,21.379
1945,21.3785
1946,21.378
1947,21.3775
1948,21.3771
1949,21.3766
1950,21.3761
1950,21.3761
1951,21.3756
1952,21.3752
1953,21.3747
1954,21.3743
1955,21.3738
1956,21.3734
1957,21.3729
1958,21.3725
1959,21.372
1960,21.3716
1960,21.3716
1961,21.3712
1962,21.3708
1963,21.3703
1964,21.3699
1965,21.3695
1966,21.3691
1967,21.3686
1968,21.3682
1969,21.3678
1970,21.3674
1970,21.3674
1971,21.367
1972,21.3665
1973,21.3661
1974,21.3657
1975,21.3653
1976,21.3649
1977,21.3644
1978,21.364
1979,21.3636
1980,21.3632
1980,21.3632
1981,21.3628
1982,21.3623
1983,21.3619
1984,21.3615
1985,21.3611
1986,21.3607
1987,21.3603
1988,21.3598
1989,21.3594
1990,21.359
1990,21.359
1991,21.3586
1992,21.3582
1993,21.3578
1994,21.3573
1995,21.3569
1996,21.3565
1997,21.3561
1998,21.3556
1999,21.3552
2000,21.3547
2000,21.3547
2001,21.3543
2002,21.3538
2003,21.3534
2004,21.3529
2005,21.3525
2006,21.352
2007,21.3515
2008,21.351
2009,21.3506
2010,21.3501
2010,21.3501
2011,21.3496
2012,21.3491
2013,21.3486
2014,21.3481
2015,21.3476
2016,21.3471
2017,21.3466
2018,21.3461
2019,21.3456
2020,21.3451
2020,21.3451
2021,21.3446
2022,21.3441
2023,21.3436
2024,21.343
2025,21.3425
2026,21.342
2027,21.3415
2028,21.341
2029,21.3404
2030,21.3399
2030,21.3399
2031,21.3394
2032,21.3388
2033,21.3383
2034,21.3377
2035,21.3372
2036,21.3366
2037,21.336
2038,21.3355
2039,21.3349
2040,21.3343
2040,21.3343
2041,21.3337
2042,21.3331
2043,21.3325
2044,21.3319
2045,21.3313
2046,21.3307
2047,21.3301
2048,21.3295
2049,21.3288
2050,21.3282
2050,21.3282
2051,21.3275
2052,21.3269
2053,21.3263
2054,21.3256
2055,21.3249
2056,21.3243
2057,21.3236
2058,21.323
2059,21.3223
2060,21.3216
2060,21.3216
2061,21.3209
2062,21.3203
2063,21.3196
2064,21.3189
2065,21.3183
2066,21.3176
2067,21.3169
2068,21.3163
2069,21.3156
2070,21.3149
2070,21.3149
2071,21.3143
2072,21.3136
2073,21.313
2074,21.3123
2075,21.3116
2076,21.3109
2077,21.3103
2078,21.3096
2079,21.3089
2080,21.3082
2080,21.3082
2081,21.3075
2082,21.3068
2083,21.3062
2084,21.3055
2085,21.3048
2086,21.3041
2087,21.3034
2088,21.3028
2089,21.3021
2090,21.3014
2090,21.3014
2091,21.3008
2092,21.3001
2093,21.2994
2094,21.2988
2095,21.2981
2096,21.2975
2097,21.2968
2098,21.2962
2099,21.2955
2100,21.2949
2100,21.2949
2101,21.2942
2102,21.2936
2103,21.293
2104,21.2923
2105,21.2917
2106,21.2911
2107,21.2904
2108,21.2898
2109,21.2892
2110,21.2885
2110,21.2885
2111,21.2879
2112,21.2873
2113,21.2866
2114,21.286
2115,21.2854
2116,21.2848
2117,21.2841
2118,21.2835
2119,21.2829
2120,21.2823
2120,21.2823
2121,21.2816
2122,21.281
2123,21.2804
2124,21.2798
2125,21.2792
2126,21.2786
2127,21.2779
2128,21.2773
2129,21.2767
2130,21.2761
2130,21.2761
2131,21.2755
2132,21.2749
2133,21.2744
2134,21.2738
2135,21.2732
2136,21.2726
2137,21.272
2138,21.2715
2139,21.2709
2140,21.2704
2140,21.2704
2141,21.2698
2142,21.2692
2143,21.2687
2144,21.2681
2145,21.2676
2146,21.267
2147,21.2665
2148,21.2659
2149,21.2654
2150,21.2648
2150,21.2648
2151,21.2643
2152,21.2637
2153,21.2632
2154,21.2626
2155,21.2621
2156,21.2615
2157,21.261
2158,21.2604
2159,21.2599
2160,21.2593
2160,21.2593
2161,21.2588
2162,21.2582
2163,21.2577
2164,21.2571
2165,21.2566
2166,21.256
2167,21.2555
2168,21.2549
2169,21.2544
2170,21.2538
2170,21.2538
2171,21.2533
2172,21.2528
2173,21.2522
2174,21.2517
2175,21.2512
2176,21.2506
2177,21.2501
2178,21.2496
2179,21.2491
2180,21.2486
2180,21.2486
2181,21.2481
2182,21.2476
2183,21.2471
2184,21.2466
2185,21.2461
2186,21.2456
2187,21.2451
2188,21.2447
2189,21.2442
2190,21.2437
2190,21.2437
2191,21.2433
2192,21.2428
2193,21.2424
2194,21.2419
2195,21.2415
2196,21.241
2197,21.2406
2198,21.2401
2199,21.2397
2200,21.2393
2200,21.2393
2201,21.2388
2202,21.2384
2203,21.238
2204,21.2376
2205,21.2372
2206,21.2368
2207,21.2364
2208,21.236
2209,21.2357
2210,21.2353
2210,21.2353
2211,21.235
2212,21.2346
2213,21.2343
2214,21.2339
2215,21.2336
2216,21.2333
2217,21.2329
2218,21.2326
2219,21.2322
2220,21.2319
2220,21.2319
2221,21.2316
2222,21.2312
2223,21.2309
2224,21.2306
2225,21.2303
2226,21.23
2227,21.2297
2228,21.2295
2229,21.2292
2230,21.229
2230,21.229
2231,21.2287
2232,21.2285
2233,21.2282
2234,21.228
2235,21.2278
2236,21.2275
2237,21.2273
2238,21.2271
2239,21.2269
2240,21.2267
2240,21.2267
2241,21.2264
2242,21.2262
2243,21.226
2244,21.2259
2245,21.2257
2246,21.2255
2247,21.2253
2248,21.2252
2249,21.225
2250,21.2248
2250,21.2248
2251,21.2247
2252,21.2246
2253,21.2245
2254,21.2244
2255,21.2243
2256,21.2242
2257,21.2242
2258,21.2241
2259,21.2241
2260,21.2241
2260,21.2241
2261,21.2241
2262,21.2241
2263,21.2242
2264,21.2243
2265,21.2244
2266,21.2245
2267,21.2246
2268,21.2248
2269,21.225
2270,21.2252
2270,21.2252
2271,21.2254
2272,21.2257
2273,21.226
2274,21.2264
2275,21.2268
2276,21.2273
2277,21.2277
2278,21.2283
2279,21.2288
2280,21.2295
2280,21.2295
2281,21.2301
2282,21.2307
2283,21.2313
2284,21.2319
2285,21.2325
2286,21.233
2287,21.2336
2288,21.2341
2289,21.2347
2290,21.2352
2290,21.2352
2291,21.2357
2292,21.2362
2293,21.2367
2294,21.2373
2295,21.2379
2296,21.2385
2297,21.2391
2298,21.2397
2299,21.2403
2300,21.2409
2300,21.2409
2301,21.2416
2302,21.2423
2303,21.2429
2304,21.2436
2305,21.2443
2306,21.245
2307,21.2457
2308,21.2464
2309,21.2472
2310,21.2479
2310,21.2479
2311,21.2486
2312,21.2494
2313,21.2501
